Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Seruyan,9385
Katingan,10639
Pulang Pisau,10104
Gunung Mas,10822
Barito Timur,11333
Murung Raya,10471
Kota Palangka Raya,14091
KALIMANTAN SELATAN,12253
Tanah Laut,11318
Kotabaru,11731
Banjar,12681
Barito Kuala,9952
Tapin,12088
Hulu Sungai Selatan,12835
Hulu Sungai Tengah,12257
Hulu Sungai Utara,9772
Tabalong,11476
Tanah Bumbu,12025
Balangan,11557
Kota Banjarmasin,14547
Kota Banjar Baru,13949
KALIMANTAN TIMUR,12359
Paser,10767
Kutai Barat,10338
Kutai Kartanegara,11152
Kutai Timur,11196
Berau,12726
Penajam Paser Utara,11750
Mahakam Ulu,8008
Kota Balikpapan,14791
Kota Samarinda,14613
Kota Bontang,16843
KALIMANTAN UTARA,9343
Malinau,10121
Bulungan,9648
Tana Tidung,7981
Nunukan,7290
Kota Tarakan,11509
SULAWESI UTARA,11115
Bolaang Mongondow,10470
Minahasa,12720
Kepulauan Sangihe,11663
Kepulauan Talaud,8638
Minahasa Selatan,11760
Minahasa Utara,11712
Bolaang Mongondow Utara,9366
Siau Tagulandang Biaro,8252
Minahasa Tenggara,10665
Bolaang Mongondow Selatan,9229
Bolaang Mongondow Timur,9483
Kota Manado,14232
Kota Bitung,12383
Kota Tomohon,12152
Kota Kotamobagu,11098
SULAWESI TENGAH,9604
Banggai Kepulauan,7619
Banggai,9842
Morowali,11277
Poso,9084
Donggala,8189
Toli-Toli,8156
Buol,8151
Parigi Moutong,9878
Tojo Una-Una,7765
Sigi,8375
Banggai Laut,7888
Morowali Utara,9109
Kota Palu,15205
SULAWESI SELATAN,11118
Kepulauan Selayar,9028
Bulukumba,10480
Bantaeng,11592
Jeneponto,9078
Takalar,10474
Gowa,9369
Sinjai,9465
Maros,10981
Pangkajene dan Kepulauan,11392
Barru,10911
Bone,8954
Soppeng,9444
Wajo,12399
Sidenreng Rappang,12039
Pinrang,11828
Enrekang,10800
Luwu,10085
Tana Toraja,7253
Luwu Utara,11583
Luwu Timur,12802
Toraja Utara,8083
Kota Makasar,16989
Kota Parepare,13648
Kota Palopo,12986
SULAWESI TENGGARA,9436
Buton,7366
Muna,8253
Konawe,10200
Kolaka,12525
Konawe Selatan,9115
Bombana,8344
Wakatobi,9388
Kolaka Utara,10258
Buton Utara,7534
Konawe Utara,9215
Kolaka Timur,7832
Konawe Kepulauan,6832
Muna Barat,7526
Buton Tengah,7264
Buton Selatan,7293
Kota Kendari,14392
Kota Baubau,10523
GORONTALO,10075
Boalemo,8874
Gorontalo,9361
Pohuwato,10316
Bone Bolango,10147
Gorontalo Utara,8982
Kota Gorontalo,12298
SULAWESI BARAT,9235
Majene,10029
Polewali Mandar,8598
Mamasa,7769
Mamuju,9535
Mamuju Utara / Pasangkayu,11094
Mamuju Tengah,8501
MALUKU,8887
Maluku Tenggara Barat / Kepulauan Tanimbar,6396
Maluku Tenggara,7625
Maluku Tengah,10298
Buru,10400
Kepulauan Aru,7678
Seram Bagian Barat,8704
Seram Bagian Timur,9452
Maluku Barat Daya,6888
Buru Selatan,7627
Kota Ambon,14233
Kota Tual,7506
MALUKU UTARA,8308
Halmahera Barat,7660
Halmahera Tengah,8258
Kepulauan Sula,7221
Halmahera Selatan,7298
Halmahera Utara,7713
Halmahera Timur,8127
Pulau Morotai,6655
Pulau Taliabu,6659
Kota Ternate,13632
Kota Tidore Kepulauan,8608
PAPUA BARAT,8125
Fakfak,7608
Kaimana,8304
Teluk Wondama,8198
Teluk Bintuni,9821
Manokwari,11994
Sorong Selatan,6252
Sorong,7507
Raja Ampat,7958
Tambrauw,5001
Maybrat,5391
Manokwari Selatan,5511
Pegunungan Arfak,5102
Kota Sorong,13815
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,7336
Merauke,10498
Jayawijaya,7835
Jayapura,10375
Nabire,9195
Kepulauan Yapen,7785
Biak Numfor,10211
Paniai,6767
Puncak Jaya,5523
Mimika,12035
Boven Digoel,8300
Mappi,6513
Asmat,6066
Yahukimo,5030
Pegunungan Bintang,5633
Tolikara,5142
Sarmi,6860
Keerom,9136
Waropen,7018
Supiori,5820
Mamberamo Raya,4807
Nduga,4181
Lanny Jaya,4569
Mamberamo Tengah,4671
Yalimo,4860
Puncak,5702
Dogiyai,5709
Intan Jaya,5593
Deiyai,4958
Kota Jayapura,15176
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
INDONESIA,11299
