Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Hulu Sungai Utara,9644
Tabalong,11470
Tanah Bumbu,11844
Balangan,11500
Kota Banjarmasin,14432
Kota Banjar Baru,13789
KALIMANTAN TIMUR,12116
Paser,10673
Kutai Barat,10062
Kutai Kartanegara,11048
Kutai Timur,10868
Berau,12435
Penajam Paser Utara,11651
Mahakam Ulu,7802
Kota Balikpapan,14862
Kota Samarinda,14582
Kota Bontang,16765
KALIMANTAN UTARA,9075
Malinau,9928
Bulungan,9423
Tana Tidung,7676
Nunukan,7064
Kota Tarakan,11261
SULAWESI UTARA,10882
Bolaang Mongondow,10220
Minahasa,12481
Kepulauan Sangihe,11524
Kepulauan Talaud,8558
Minahasa Selatan,11554
Minahasa Utara,11481
Bolaang Mongondow Utara,9143
Siau Tagulandang Biaro,8145
Minahasa Tenggara,10479
Bolaang Mongondow Selatan,8939
Bolaang Mongondow Timur,9115
Kota Manado,13991
Kota Bitung,12271
Kota Tomohon,11851
Kota Kotamobagu,10848
SULAWESI TENGAH,9378
Banggai Kepulauan,7453
Banggai,9603
Morowali,11028
Poso,8850
Donggala,8002
Toli-Toli,7947
Buol,7974
Parigi Moutong,9675
Tojo Una-Una,7621
Sigi,8171
Banggai Laut,7707
Morowali Utara,8890
Kota Palu,14894
SULAWESI SELATAN,11184
Kepulauan Selayar,9060
Bulukumba,10632
Bantaeng,11829
Jeneponto,9215
Takalar,10543
Gowa,9504
Sinjai,9505
Maros,11032
Pangkajene dan Kepulauan,11519
Barru,11017
Bone,9030
Soppeng,9558
Wajo,12505
Sidenreng Rappang,12201
Pinrang,11956
Enrekang,10973
Luwu,10116
Tana Toraja,7434
Luwu Utara,11736
Luwu Timur,12886
Toraja Utara,8134
Kota Makasar,17097
Kota Parepare,13786
Kota Palopo,13117
SULAWESI TENGGARA,9381
Buton,7324
Muna,8218
Konawe,10151
Kolaka,12525
Konawe Selatan,9059
Bombana,8310
Wakatobi,9280
Kolaka Utara,10244
Buton Utara,7496
Konawe Utara,9181
Kolaka Timur,7753
Konawe Kepulauan,6738
Muna Barat,7502
Buton Tengah,7244
Buton Selatan,7279
Kota Kendari,14356
Kota Baubau,10503
GORONTALO,10157
Boalemo,8940
Gorontalo,9412
Pohuwato,10409
Bone Bolango,10198
Gorontalo Utara,9064
Kota Gorontalo,12390
SULAWESI BARAT,9153
Majene,10028
Polewali Mandar,8548
Mamasa,7736
Mamuju,9494
Mamuju Utara / Pasangkayu,11072
Mamuju Tengah,8408
MALUKU,8770
Maluku Tenggara Barat / Kepulauan Tanimbar,6335
Maluku Tenggara,7580
Maluku Tengah,10243
Buru,10347
Kepulauan Aru,7623
Seram Bagian Barat,8720
Seram Bagian Timur,9480
Maluku Barat Daya,6918
Buru Selatan,7600
Kota Ambon,14148
Kota Tual,7405
MALUKU UTARA,8140
Halmahera Barat,7467
Halmahera Tengah,7966
Kepulauan Sula,7040
Halmahera Selatan,7142
Halmahera Utara,7519
Halmahera Timur,7973
Pulau Morotai,6378
Pulau Taliabu,6467
Kota Ternate,13290
Kota Tidore Kepulauan,8316
PAPUA BARAT,7929
Fakfak,7446
Kaimana,8151
Teluk Wondama,8034
Teluk Bintuni,9708
Manokwari,11977
Sorong Selatan,6188
Sorong,7350
Raja Ampat,7882
Tambrauw,4903
Maybrat,5245
Manokwari Selatan,5505
Pegunungan Arfak,5009
Kota Sorong,13744
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,6955
Merauke,10201
Jayawijaya,7545
Jayapura,9989
Nabire,8856
Kepulauan Yapen,7491
Biak Numfor,9607
Paniai,6377
Puncak Jaya,5289
Mimika,11400
Boven Digoel,7864
Mappi,6327
Asmat,5736
Yahukimo,4895
Pegunungan Bintang,5429
Tolikara,4841
Sarmi,6617
Keerom,8926
Waropen,6788
Supiori,5708
Mamberamo Raya,4603
Nduga,3976
Lanny Jaya,4393
Mamberamo Tengah,4487
Yalimo,4664
Puncak,5412
Dogiyai,5415
Intan Jaya,5328
Deiyai,4673
Kota Jayapura,14937
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
INDONESIA,11156
